X Y Z
1.000000 1.000000 1.000000
1.012567 1.259918 0.984891
1.048824 1.523997 0.973114
1.107209 1.798310 0.965159
1.186868 2.088540 0.961737
1.287557 2.400154 0.963806
1.409571 2.738546 0.972608
1.553690 3.109154 0.989731
1.721146 3.517569 1.017187
1.913596 3.969615 1.057512
2.133107 4.471411 1.113899
2.382146 5.029415 1.190354
2.663581 5.650438 1.291893
2.980668 6.341615 1.424787
3.337045 7.110331 1.596843
3.736716 7.964065 1.817757
4.184007 8.910141 2.099503
4.683507 9.955333 2.456794
5.239967 11.105288 2.907557
5.858133 12.363697 3.473431
6.542513 13.731149 4.180191
7.297030 15.203592 5.058021
8.124546 16.770340 6.141457
9.026215 18.411601 7.468781
10.000639 20.095576 9.080531
11.042823 21.775358 11.016741
12.142932 23.386068 13.312491
13.284945 24.843036 15.991439
14.445350 26.042196 19.057333
15.592182 26.864169 22.484125
16.684763 27.183473 26.206297
17.674639 26.883606 30.112135
18.508113 25.877106 34.043549
19.130568 24.127303 37.805809
19.492306 21.666040 41.188556
19.555041 18.600674 43.995692
19.297723 15.105561 46.077475
18.720212 11.397976 47.355669
17.843776 7.704258 47.833954
16.708234 4.225761 47.590768
15.366499 1.113758 46.758015
13.877914 -1.541669 45.493324
12.301848 -3.709144 43.953982
10.692619 -5.404206 42.278057
9.096259 -6.673702 40.574463
7.549065 -7.580829 38.920797
6.077562 -8.193378 37.366355
4.699412 -8.575906 35.937698
3.424793 -8.785421 34.644780
2.257933 -8.869676 33.486466
1.198565 -8.867139 32.454933
0.243204 -8.807869 31.538891
-0.613809 -8.714782 30.725777
-1.379484 -8.604971 30.003125
-2.061556 -8.490928 29.359360
-2.668036 -8.381581 28.784187
-3.206883 -8.283145 28.268732
-3.685788 -8.199790 27.805518
-4.112029 -8.134157 27.388370
-4.492383 -8.087756 27.012268
-4.833087 -8.061258 26.673195
-5.139813 -8.054717 26.367986
-5.417679 -8.067734 26.094186
-5.671259 -8.099574 25.849929
-5.904609 -8.149253 25.633827
-6.121297 -8.215599 25.444877
-6.324432 -8.297294 25.282381
-6.516695 -8.392906 25.145876
-6.700372 -8.500900 25.035076
-6.877380 -8.619656 24.949817
-7.049297 -8.747471 24.890011
-7.217384 -8.882564 24.855604
-7.382608 -9.023073 24.846531
-7.545665 -9.167060 24.862684
-7.706993 -9.312511 24.903871
-7.866798 -9.457341 24.969780
-8.025060 -9.599402 25.059945
-8.181559 -9.736496 25.173713
-8.335880 -9.866394 25.310211
-8.487438 -9.986859 25.468319
-8.635492 -10.095676 25.646646
-8.779161 -10.190688 25.843510
-8.917448 -10.269842 26.056927
-9.049262 -10.331230 26.284609
-9.173446 -10.373147 26.523971
