X Y Z
-9.288799 -10.394135 26.772148
-9.394111 -10.393040 27.026028
-9.488195 -10.369061 27.282291
-9.569919 -10.321787 27.537470
-9.638239 -10.251231 27.788007
-9.692234 -10.157856 28.030335
-9.731136 -10.042574 28.260954
-9.754358 -9.906742 28.476512
-9.761521 -9.752136 28.673890
-9.752468 -9.580912 28.850271
-9.727277 -9.395548 29.003212
-9.686269 -9.198779 29.130697
-9.630005 -8.993523 29.231175
-9.559273 -8.782800 29.303583
-9.475078 -8.569651 29.347353
-9.378616 -8.357060 29.362404
-9.271245 -8.147886 29.349110
-9.154461 -7.944797 29.308271
-9.029858 -7.750227 29.241057
-8.899097 -7.566333 29.148962
-8.763872 -7.394976 29.033739
-8.625880 -7.237709 28.897350
-8.486787 -7.095778 28.741902
-8.348205 -6.970135 28.569603
-8.211670 -6.861453 28.382710
-8.078625 -6.770154 28.183494
-7.950402 -6.696434 27.974205
-7.828217 -6.640299 27.757049
-7.713162 -6.601589 27.534165
-7.606203 -6.580012 27.307617
-7.508183 -6.575169 27.079382
-7.419820 -6.586580 26.851349
-7.341717 -6.613704 26.625320
-7.274364 -6.655955 26.403009
-7.218148 -6.712718 26.186048
-7.173359 -6.783353 25.975995
-7.140200 -6.867209 25.774335
-7.118788 -6.963618 25.582493
-7.109168 -7.071901 25.401832
-7.111315 -7.191361 25.233664
-7.125137 -7.321275 25.079249
-7.150482 -7.460893 24.939802
-7.187139 -7.609423 24.816487
-7.234840 -7.766021 24.710419
-7.293257 -7.929780 24.622660
-7.362006 -8.099720 24.554212
-7.440641 -8.274772 24.506004
-7.528651 -8.453770 24.478885
-7.625460 -8.635438 24.473605
-7.730418 -8.818385 24.490800
-7.842798 -9.001096 24.530966
-7.961794 -9.181934 24.594440
-8.086514 -9.359138 24.681372
-8.215977 -9.530830 24.791696
-8.349112 -9.695033 24.925103
-8.484759 -9.849684 25.081013
-8.621666 -9.992665 25.258547
-8.758500 -10.121835 25.456502
-8.893851 -10.235073 25.673336
-9.026243 -10.330325 25.907150
-9.154152 -10.405660 26.155691
-9.276023 -10.459326 26.416354
-9.390293 -10.489816 26.686206
-9.495419 -10.495923 26.962015
-9.589907 -10.476803 27.240298
-9.672344 -10.432025 27.517381
-9.741433 -10.361610 27.789471
-9.796024 -10.266060 28.052740
-9.835150 -10.146370 28.303415
-9.858053 -10.004024 28.537871
-9.864212 -9.840965 28.752719
-9.853359 -9.659558 28.944901
-9.825498 -9.462526 29.111761
-9.780902 -9.252878 29.251107
-9.720119 -9.033825 29.361260
-9.643954 -8.808686 29.441080
-9.553453 -8.580805 29.489972
-9.449878 -8.353455 29.507874
-9.334678 -8.129763 29.495229
-9.209449 -7.912639 29.452943
-9.075901 -7.704725 29.382326
-8.935817 -7.508350 29.285035
-8.791017 -7.325509 29.163008
-8.643319 -7.157852 29.018395
-8.494511 -7.006686 28.853500
-8.346317 -6.872992 28.670719
-8.200376 -6.757443 28.472495
-8.058223 -6.660441 28.261268
-7.921270 -6.582143 28.039448
-7.790803 -6.522502 27.809380
-7.667970 -6.481297 27.573332
-7.553783 -6.458171 27.333479
-7.449118 -6.452659 27.091894
-7.354718 -6.464217 26.850551
-7.271203 -6.492244 26.611323
-7.199074 -6.536101 26.375986
-7.138722 -6.595126 26.146230
-7.090436 -6.668643 25.923659
-7.054415 -6.755968 25.709806
-7.030771 -6.856413 25.506136
-7.019543 -6.969282 25.314056
-7.020697 -7.093871 25.134920
-7.034135 -7.229457 24.970033
-7.059699 -7.375291 24.820657
-7.097172 -7.530586 24.688010
-7.146281 -7.694506 24.573264
-7.206698 -7.866152 24.477545
-7.278033 -8.044549 24.401922
-7.359841 -8.228628 24.347403
-7.451609 -8.417217 24.314918
-7.552757 -8.609029 24.305306
-7.662633 -8.802644 24.319295
-7.780502 -8.996512 24.357479
-7.905547 -9.188939 24.420292
-8.036862 -9.378090 24.507983
-8.173442 -9.561996 24.620578
-8.314189 -9.738563 24.757854
-8.457900 -9.905592 24.919304
-8.603278 -10.060806 25.104104
-8.748925 -10.201883 25.311087
-8.893360 -10.326501 25.538714
-9.035021 -10.432393 25.785061
-9.172285 -10.517400 26.047809
-9.303484 -10.579542 26.324248
-9.426934 -10.617086 26.611292
-9.540960 -10.628612 26.905514
-9.643930 -10.613088 27.203189
-9.734290 -10.569921 27.500364
-9.810600 -10.499016 27.792930
-9.871573 -10.400806 28.076716
-9.916116 -10.276273 28.347590
-9.943355 -10.126945 28.601562
-9.952672 -9.954870 28.834893
-9.943729 -9.762575 29.044188
-9.916476 -9.552996 29.226492
-9.871167 -9.329400 29.379358
-9.808356 -9.095287 29.500904
-9.728880 -8.854290 29.589845
-9.633849 -8.610069 29.645499
-9.524611 -8.366214 29.667781
-9.402719 -8.126153 29.657163
-9.269895 -7.893070 29.614632
-9.127986 -7.669848 29.541621
-8.978920 -7.459019 29.439944
-8.824665 -7.262739 29.311718
-8.667187 -7.082780 29.159291
-8.508417 -6.920529 28.985167
-8.350216 -6.777009 28.791947
-8.194346 -6.652906 28.582267
-8.042456 -6.548607 28.358754
-7.896058 -6.464230 28.123986
-7.756522 -6.399675 27.880465
-7.625070 -6.354659 27.630596
-7.502772 -6.328754 27.376674
-7.390550 -6.321424 27.120878
-7.289184 -6.332054 26.865272
-7.199317 -6.359979 26.611806
-7.121469 -6.404500 26.362324
-7.056039 -6.464903 26.118571
-7.003323 -6.540471 25.882204
-6.963520 -6.630488 25.654801
-6.936740 -6.734241 25.437871
-6.923019 -6.851023 25.232863
-6.922318 -6.980122 25.041172
-6.934535 -7.120817 24.864149
-6.959511 -7.272367 24.703105
-6.997025 -7.434000 24.559310
-7.046806 -7.604896 24.433997
-7.108525 -7.784175 24.328358
-7.181798 -7.970878 24.243538
-7.266183 -8.163952 24.180627
-7.361172 -8.362237 24.140648
-7.466192 -8.564443 24.124541
-7.580593 -8.769146 24.133141
-7.703645 -8.974771 24.167160
-7.834530 -9.179583 24.227152
-7.972335 -9.381691 24.313489
-8.116046 -9.579042 24.426322
-8.264542 -9.769435 24.565549
-8.416596 -9.950538 24.730773
-8.570866 -10.119912 24.921267
-8.725904 -10.275043 25.135938
-8.880160 -10.413396 25.373299
-9.031989 -10.532460 25.631439
-9.179668 -10.629820 25.908015
-9.321418 -10.703223 26.200242
-9.455421 -10.750659 26.504914
-9.579861 -10.770442 26.818422
-9.692950 -10.761282 27.136813
-9.792971 -10.722367 27.455843
-9.878317 -10.653415 27.771071
-9.947536 -10.554728 28.077953
-9.999373 -10.427218 28.371951
-10.032808 -10.272408 28.648658
-10.047091 -10.092414 28.903909
-10.041775 -9.889899 29.133908
-10.016728 -9.668005 29.335319
-9.972153 -9.430260 29.505366
-9.908581 -9.180472 29.641887
-9.826867 -8.922616 29.743386
-9.728163 -8.660716 29.809038
-9.613894 -8.398726 29.838682
-9.485717 -8.140426 29.832787
-9.345479 -7.889332 29.792392
-9.195171 -7.648622 29.719041
-9.036876 -7.421083 29.614701
-8.872726 -7.209080 29.481674
-8.704854 -7.014543 29.322515
-8.535351 -6.838974 29.139948
-8.366235 -6.683466 28.936795
-8.199414 -6.548737 28.715912
-8.036669 -6.435166 28.480133
-7.879632 -6.342847 28.232228
-7.729776 -6.271626 27.974875
-7.588411 -6.221154 27.710633
-7.456679 -6.190931 27.441937
-7.335562 -6.180342 27.171083
-7.225885 -6.188695 26.900238
-7.128327 -6.215251 26.631438
-7.043429 -6.259244 26.366602
-6.971609 -6.319904 26.107536
-6.913172 -6.396463 25.855953
-6.868319 -6.488169 25.613478
-6.837165 -6.594284 25.381664
-6.819742 -6.714084 25.162002
-6.816010 -6.846853 24.955929
-6.825866 -6.991875 24.764841
-6.849148 -7.148425 24.590096
-6.885640 -7.315749 24.433018
-6.935071 -7.493056 24.294900
-6.997121 -7.679496 24.177002
-7.071412 -7.874142 24.080548
-7.157513 -8.075976 24.006717
-7.254929 -8.283864 23.956632
-7.363101 -8.496540 23.931344
-7.481392 -8.712594 23.931814
-7.609088 -8.930449 23.958887
-7.745380 -9.148355 24.013265
-7.889364 -9.364383 24.095471
-8.040028 -9.576418 24.205817
-8.196247 -9.782169 24.344360
-8.356777 -9.979181 24.510859
-8.520252 -10.164858 24.704735
-8.685182 -10.336498 24.925028
-8.849959 -10.491335 25.170353
-9.012866 -10.626598 25.438876
-9.172085 -10.739579 25.728282
-9.325722 -10.827710 26.035772
-9.471827 -10.888648 26.358057
-9.608428 -10.920368 26.691393
-9.733568 -10.921251 27.031615
-9.845344 -10.890176 27.374204
-9.941955 -10.826590 27.714377
-10.021750 -10.730575 28.047189
-10.083273 -10.602887 28.367654
-10.125313 -10.444971 28.670881
-10.146947 -10.258947 28.952209
-10.147568 -10.047569 29.207343
-10.126921 -9.814154 29.432475
-10.085112 -9.562482 29.624391
-10.022614 -9.296684 29.780554
-9.940262 -9.021105 29.899158
-9.839228 -8.740176 29.979150
-9.720994 -8.458274 30.020221
-9.587308 -8.179600 30.022775
-9.440141 -7.908073 29.987865
-9.281630 -7.647238 29.917117
-9.114027 -7.400210 29.812635
-8.939642 -7.169625 29.676907
-8.760793 -6.957633 29.512706
-8.579759 -6.765899 29.322995
-8.398737 -6.595623 29.110842
-8.219808 -6.447586 28.879347
-8.044913 -6.322186 28.631582
-7.875827 -6.219498 28.370539
-7.714151 -6.139325 28.099099
-7.561304 -6.081254 27.820005
-7.418523 -6.044704 27.535848
-7.286864 -6.028977 27.249068
-7.167213 -6.033294 26.961948
-7.060296 -6.056831 26.676625
-6.966689 -6.098744 26.395101
-6.886833 -6.158194 26.119255
-6.821049 -6.234357 25.850857
-6.769549 -6.326434 25.591585
-6.732451 -6.433654 25.343036
-6.709789 -6.555275 25.106743
-6.701524 -6.690573 24.884185
-6.707554 -6.838842 24.676800
-6.727719 -6.999370 24.485990
-6.761805 -7.171434 24.313131
-6.809549 -7.354280 24.159573
-6.870639 -7.547101 24.026646
-6.944712 -7.749021 23.915650
-7.031353 -7.959073 23.827856
-7.130088 -8.176174 23.764493
-7.240379 -8.399110 23.726733
-7.361618 -8.626509 23.715673
-7.493113 -8.856826 23.732312
-7.634084 -9.088326 23.777520
-7.783650 -9.319074 23.852004
-7.940819 -9.546926 23.956272
-8.104480 -9.769527 24.090586
-8.273393 -9.984328 24.254916
-8.446186 -10.188593 24.448890
-8.621348 -10.379439 24.671745
-8.797233 -10.553874 24.922280
-8.972063 -10.708853 25.198809
-9.143939 -10.841348 25.499130
-9.310862 -10.948432 25.820502
-9.470749 -11.027370 26.159636
-9.621471 -11.075723 26.512709
-9.760888 -11.091451 26.875400
-9.886891 -11.073018 27.242949
-9.997456 -11.019484 27.610243
-10.090695 -10.930594 27.971924
-10.164907 -10.806827 28.322524
-10.218639 -10.649437 28.656605
-10.250734 -10.460448 28.968924
-10.260369 -10.242623 29.254580
-10.247101 -9.999393 29.509168
-10.210879 -9.734760 29.728908
-10.152065 -9.453166 29.910748
-10.071420 -9.159351 30.052440
-9.970096 -8.858195 30.152576
-9.849598 -8.554564 30.210593
-9.711744 -8.253163 30.226737
-9.558613 -7.958403 30.202001
-9.392491 -7.674297 30.138042
-9.215801 -7.404379 30.037074
-9.031049 -7.151654 29.901761
-8.840762 -6.918573 29.735096
-8.647432 -6.707035 29.540298
-8.453469 -6.518414 29.320712
-8.261160 -6.353595 29.079717
-8.072639 -6.213033 28.820659
-7.889859 -6.096808 28.546792
-7.714582 -6.004694 28.261238
-7.548367 -5.936215 27.966959
-7.392571 -5.890712 27.666740
-7.248349 -5.867393 27.363188
-7.116671 -5.865379 27.058729
-6.998326 -5.883748 26.755621
-6.893938 -5.921564 26.455966
-6.803987 -5.977901 26.161727
-6.728816 -6.051864 25.874740
-6.668655 -6.142595 25.596740
-6.623631 -6.249278 25.329373
-6.593785 -6.371144 25.074213
-6.579080 -6.507456 24.832779
-6.579417 -6.657511 24.606546
-6.594637 -6.820616 24.396958
-6.624535 -6.996081 24.205435
-6.668854 -7.183197 24.033383
-6.727296 -7.381215 23.882190
-6.799515 -7.589325 23.753235
-6.885119 -7.806632 23.647875
-6.983660 -8.032135 23.567446
-7.094634 -8.264695 23.513243
-7.217469 -8.503018 23.486509
-7.351514 -8.745630 23.488408
-7.496030 -8.990851 23.519999
-7.650181 -9.236786 23.582201
-7.813015 -9.481305 23.675755
-7.983459 -9.722038 23.801174
-8.160304 -9.956379 23.958696
-8.342198 -10.181496 24.148226
-8.527637 -10.394352 24.369280
-8.714962 -10.591748 24.620925
-8.902365 -10.770370 24.901730
-9.087888 -10.926860 25.209711
-9.269443 -11.057899 25.542295
-9.444829 -11.160306 25.896302
-9.611766 -11.231150 26.267936
-9.767927 -11.267866 26.652811
-9.910983 -11.268379 27.045999
-10.038662 -11.231223 27.442106
-10.148798 -11.155641 27.835385
-10.239401 -11.041677 28.219867
-10.308712 -10.890227 28.589524
-10.355271 -10.703066 28.938441
-10.377964 -10.482827 29.260996
-10.376074 -10.232950 29.552040
-10.349317 -9.957574 29.807058
-10.297856 -9.661414 30.022302
-10.222310 -9.349600 30.194899
-10.123740 -9.027494 30.322910
-10.003618 -8.700518 30.405347
-9.863792 -8.373971 30.442156
-9.706422 -8.052874 30.434156
-9.533923 -7.741831 30.382945
-9.348894 -7.444930 30.290787
-9.154047 -7.165670 30.160485
-8.952139 -6.906926 29.995250
-8.745908 -6.670941 29.798570
-8.538015 -6.459353 29.574093
-8.330996 -6.273231 29.325521
-8.127222 -6.113141 29.056521
-7.928872 -5.979214 28.770664
-7.737909 -5.871217 28.471365
-7.556076 -5.788628 28.161854
-7.384887 -5.730709 27.845159
-7.225635 -5.696566 27.524095
-7.079399 -5.685211 27.201269
-6.947059 -5.695602 26.879090
-6.829311 -5.726691 26.559786
-6.726686 -5.777444 26.245418
-6.639568 -5.846870 25.937910
-6.568212 -5.934031 25.639059
-6.512764 -6.038050 25.350565
-6.473272 -6.158111 25.074045
-6.449710 -6.293454 24.811055
-6.441979 -6.443367 24.563105
-6.449928 -6.607173 24.331672
-6.473353 -6.784214 24.118215
-6.512011 -6.973830 23.924181
-6.565615 -7.175339 23.751012
-6.633841 -7.388014 23.600151
-6.716321 -7.611056 23.473035
-6.812642 -7.843566 23.371097
-6.922341 -8.084520 23.295753
-7.044892 -8.332742 23.248388
-7.179699 -8.586871 23.230339
-7.326085 -8.845339 23.242864
-7.483275 -9.106346 23.287115
-7.650385 -9.367840 23.364096
-7.826408 -9.627499 23.474614
-8.010197 -9.882729 23.619231
-8.200455 -10.130660 23.798201
-8.395723 -10.368165 24.011406
-8.594371 -10.591884 24.258292
-8.794595 -10.798272 24.537798
-8.994419 -10.983655 24.848294
-9.191702 -11.144317 25.187527
-9.384156 -11.276596 25.552575
-9.569368 -11.377003 25.939829
-9.744838 -11.442348 26.344984
-9.908018 -11.469885 26.763079
-10.056372 -11.457448 27.188550
-10.187428 -11.403590 27.615336
-10.298856 -11.307696 28.037006
-10.388529 -11.170079 28.446927
-10.454604 -10.992035 28.838452
-10.495580 -10.775854 29.205124
-10.510368 -10.524787 29.540890
-10.498332 -10.242964 29.840297
-10.459330 -9.935263 30.098675
-10.393725 -9.607143 30.312273
-10.302386 -9.264451 30.478368
-10.186667 -8.913209 30.595309
-10.048363 -8.559407 30.662519
-9.889663 -8.208806 30.680448
-9.713075 -7.866761 30.650482
-9.521352 -7.538089 30.574820
-9.317416 -7.226962 30.456335
-9.104271 -6.936854 30.298415
-8.884933 -6.670515 30.104817
-8.662357 -6.429987 29.879516
-8.439379 -6.216649 29.626580
-8.218668 -6.031274 29.350064
-8.002684 -5.874114 29.053917
-7.793657 -5.744982 28.741924
-7.593568 -5.643339 28.417656
-7.404145 -5.568380 28.084448
-7.226866 -5.519110 27.745389
-7.062967 -5.494413 27.403319
-6.913456 -5.493111 27.060848
-6.779132 -5.514011 26.720365
-6.660606 -5.555944 26.384068
-6.558322 -5.617791 26.053984
-6.472577 -5.698503 25.731994
-6.403546 -5.797108 25.419861
-6.351297 -5.912719 25.119251
-6.315811 -6.044527 24.831757
-6.296999 -6.191794 24.558919
-6.294712 -6.353843 24.302240
-6.308753 -6.530037 24.063204
-6.338884 -6.719765 23.843289
-6.384832 -6.922414 23.643973
-6.446293 -7.137348 23.466744
-6.522924 -7.363880 23.313104
-6.614352 -7.601243 23.184565
-6.720155 -7.848561 23.082647
-6.839867 -8.104813 23.008865
-6.972957 -8.368809 22.964719
-7.118823 -8.639150 22.951664
-7.276777 -8.914203 22.971089
-7.446026 -9.192071 23.024278
-7.625661 -9.470570 23.112364
-7.814634 -9.747206 23.236277
-8.011748 -10.019171 23.396685
-8.215633 -10.283341 23.593925
-8.424741 -10.536288 23.827927
-8.637329 -10.774313 24.098139
-8.851458 -10.993496 24.403445
-9.064992 -11.189764 24.742093
-9.275607 -11.358982 25.111627
-9.480809 -11.497075 25.508835
-9.677961 -11.600157 25.929722
-9.864322 -11.664686 26.369511
-10.037099 -11.687626 26.822669
-10.193506 -11.666613 27.282993
-10.330838 -11.600111 27.743714
-10.446545 -11.487545 28.197665
-10.538316 -11.329412 28.637468
-10.604162 -11.127332 29.055763
-10.642493 -10.884061 29.445446
-10.652184 -10.603441 29.799915
-10.632634 -10.290287 30.113297
-10.583795 -9.950232 30.380653
-10.506192 -9.589516 30.598127
-10.400915 -9.214758 30.763053
-10.269587 -8.832702 30.873995
-10.114315 -8.449978 30.930724
-9.937623 -8.072879 30.934152
-9.742367 -7.707169 30.886204
-9.531650 -7.357941 30.789665
-9.308727 -7.029514 30.648009
-9.076915 -6.725387 30.465214
-8.839508 -6.448232 30.245587
-8.599703 -6.199925 29.993605
-8.360533 -5.981614 29.713773
-8.124821 -5.793801 29.410510
-7.895143 -5.636439 29.088065
-7.673801 -5.509036 28.750452
-7.462816 -5.410756 28.401413
-7.263921 -5.340513 28.044402
-7.078575 -5.297059 27.682579
-6.907975 -5.279055 27.318825
-6.753071 -5.285134 26.955758
-6.614597 -5.313948 26.595760
-6.493090 -5.364207 26.241003
-6.388917 -5.434703 25.893484
-6.302300 -5.524327 25.555049
-6.233338 -5.632076 25.227426
-6.182033 -5.757052 24.912252
-6.148304 -5.898456 24.611093
-6.132006 -6.055580 24.325472
-6.132946 -6.227787 24.056888
-6.150891 -6.414494 23.806828
-6.185574 -6.615151 23.576788
-6.236705 -6.829210 23.368277
-6.303965 -7.056104 23.182831
-6.387013 -7.295214 23.022015
-6.485476 -7.545837 22.887419
-6.598942 -7.807151 22.780661
-6.726957 -8.078182 22.703374
-6.869005 -8.357768 22.657188
-7.024500 -8.644519 22.643711
-7.192767 -8.936785 22.664498
-7.373023 -9.232623 22.721010
-7.564361 -9.529762 22.814569
-7.765725 -9.825584 22.946299
-7.975896 -10.117107 23.117056
-8.193466 -10.400981 23.327355
-8.416827 -10.673497 23.577280
-8.644154 -10.930620 23.866399
-8.873399 -11.168037 24.193665
-9.102286 -11.381232 24.557330
-9.328322 -11.565592 24.954863
-9.548810 -11.716532 25.382881
-9.760885 -11.829650 25.837112
-9.961547 -11.900904 26.312385
-10.147725 -11.926804 26.802660
-10.316343 -11.904601 27.301110
-10.464397 -11.832478 27.800249
-10.589049 -11.709713 28.292109
-10.687722 -11.536800 28.768472
-10.758191 -11.315529 29.221122
-10.798679 -11.048994 29.642138
-10.807930 -10.741535 30.024172
-10.785280 -10.398611 30.360721
-10.730692 -10.026603 30.646362
-10.644773 -9.632575 30.876929
-10.528771 -9.223994 31.049626
-10.384528 -8.808435 31.163067
-10.214430 -8.393298 31.217243
-10.021317 -7.985552 31.213425
-9.808396 -7.591514 31.154011
-9.579129 -7.216696 31.042337
-9.337130 -6.865697 30.882468
-9.086062 -6.542158 30.678981
-8.829538 -6.248770 30.436767
-8.571040 -5.987328 30.160839
-8.313850 -5.758813 29.856186
-8.060996 -5.563497 29.527645
-7.815212 -5.401066 29.179810
-7.578921 -5.270741 28.816975
-7.354222 -5.171393 28.443097
-7.142896 -5.101655 28.061787
-6.946415 -5.060014 27.676315
-6.765965 -5.044895 27.289628
-6.602468 -5.054725 26.904378
-6.456609 -5.087983 26.522958
-6.328871 -5.143240 26.147531
-6.219558 -5.219182 25.780071
-6.128826 -5.314623 25.422397
-6.056712 -5.428515 25.076206
-6.003153 -5.559940 24.743101
-5.968013 -5.708104 24.424623
-5.951099 -5.872325 24.122272
-5.952174 -6.052009 23.837531
-5.970973 -6.246634 23.571886
-6.007207 -6.455724 23.326839
-6.060572 -6.678819 23.103923
-6.130748 -6.915445 22.904711
-6.217397 -7.165085 22.730823
-6.320162 -7.427138 22.583928
-6.438658 -7.700889 22.465740
-6.572459 -7.985463 22.378013
-6.721089 -8.279791 22.322524
-6.884005 -8.582563 22.301054
-7.060575 -8.892190 22.315360
-7.250062 -9.206761 22.367129
-7.451602 -9.524008 22.457938
-7.664176 -9.841271 22.589185
-7.886591 -10.155476 22.762020
-8.117453 -10.463118 22.977260
-8.355147 -10.760271 23.235291
-8.597818 -11.042602 23.535968
-8.843357 -11.305421 23.878503
-9.089397 -11.543755 24.261356
-9.333311 -11.752451 24.682128
-9.572230 -11.926318 25.137482
-9.803067 -12.060291 25.623069
-10.022563 -12.149634 26.133507
-10.227343 -12.190157 26.662391
-10.413988 -12.178450 27.202371
-10.579129 -12.112104 27.745279
-10.719544 -11.989923 28.282319
-10.832270 -11.812080 28.804327
-10.914713 -11.580233 29.302058
-10.964758 -11.297552 29.766527
-10.980862 -10.968671 30.189342
-10.962138 -10.599553 30.563029
-10.908406 -10.197273 30.881323
-10.820219 -9.769738 31.139386
-10.698856 -9.325356 31.333951
-10.546285 -8.872689 31.463378
-10.365096 -8.420117 31.527623
-10.158407 -7.975523 31.528120
-9.929757 -7.546037 31.467602
-9.682980 -7.137845 31.349877
-9.422083 -6.756067 31.179575
-9.151128 -6.404708 30.961893
-8.874114 -6.086669 30.702353
-8.594887 -5.803814 30.406587
-8.317058 -5.557074 30.080159
-8.043942 -5.346581 29.728421
-7.778520 -5.171806 29.356417
-7.523412 -5.031709 28.968816
-7.280870 -4.924875 28.569878
-7.052785 -4.849644 28.163451
-6.840701 -4.804214 27.752981
-6.645844 -4.786740 27.341541
-6.469146 -4.795404 26.931864
-6.311281 -4.828471 26.526386
-6.172701 -4.884329 26.127290
-6.053666 -4.961518 25.736546
-5.954284 -5.058738 25.355957
-5.874533 -5.174862 24.987190
-5.814297 -5.308923 24.631816
-5.773385 -5.460109 24.291340
-5.751554 -5.627747 23.967229
-5.748526 -5.811280 23.660938
-5.764002 -6.010244 23.373929
-5.797669 -6.224245 23.107693
-5.849211 -6.452922 22.863761
-5.918304 -6.695925 22.643722
-6.004625 -6.952870 22.449229
-6.107840 -7.223309 22.282004
-6.227599 -7.506689 22.143841
-6.363527 -7.802308 22.036603
-6.515209 -8.109273 21.962208
-6.682171 -8.426450 21.922615
-6.863867 -8.752420 21.919799
-7.059647 -9.085430 21.955711
-7.268743 -9.423342 22.032237
-7.490232 -9.763597 22.151133
-7.723017 -10.103170 22.313952
-7.965790 -10.438547 22.521957
-8.217013 -10.765715 22.776019
-8.474885 -11.080158 23.076500
-8.737325 -11.376901 23.423124
-9.001957 -11.650560 23.814852
-9.266102 -11.895444 24.249747
-9.526785 -12.105687 24.724854
-9.780755 -12.275428 25.236101
-10.024520 -12.399016 25.778233
-10.254404 -12.471264 26.344792
-10.466619 -12.487718 26.928158
-10.657362 -12.444927 27.519654
-10.822922 -12.340715 28.109740
-10.959804 -12.174403 28.688263
-11.064863 -11.946984 29.244790
-11.135431 -11.661208 29.768983
-11.169440 -11.321578 30.251004
-11.165530 -10.934230 30.681917
-11.123124 -10.506722 31.054050
-11.042475 -10.047725 31.361302
-10.924677 -9.566646 31.599350
-10.771634 -9.073216 31.765757
-10.585992 -8.577075 31.859962
-10.371045 -8.087384 31.883177
-10.130606 -7.612498 31.838184
-9.868873 -7.159707 31.729079
-9.590277 -6.735075 31.560972
-9.299343 -6.343359 31.339678
-9.000556 -5.988012 31.071420
-8.698240 -5.671255 30.762568
-8.396466 -5.394197 30.419415
-8.098973 -5.156989 30.048002
-7.809122 -4.959000 29.654000
-7.529862 -4.798986 29.242623
-7.263720 -4.675266 28.818599
-7.012807 -4.585868 28.386156
-6.778840 -4.528665 27.949040
-6.563163 -4.501481 27.510553
-6.366789 -4.502185 27.073594
-6.190437 -4.528750 26.640714
-6.034569 -4.579307 26.214161
-5.899436 -4.652171 25.795940
-5.785116 -4.745858 25.387854
-5.691545 -4.859094 24.991557
-5.618555 -4.990805 24.608584
-5.565903 -5.140112 24.240399
-5.533292 -5.306306 23.888418
-5.520393 -5.488836 23.554044
-5.526865 -5.687275 23.238688
-5.552361 -5.901298 22.943792
-5.596540 -6.130649 22.670849
-5.659074 -6.375110 22.421421
-5.739643 -6.634463 22.197146
-5.837936 -6.908452 21.999755
-5.953643 -7.196747 21.831073
-6.086448 -7.498893 21.693026
-6.236014 -7.814270 21.587633
-6.401966 -8.142038 21.516998
-6.583873 -8.481087 21.483293
-6.781223 -8.829981 21.488731
-6.993398 -9.186899 21.535522
-7.219647 -9.549585 21.625828
-7.459049 -9.915290 21.761690
