X Y Z
1.000000 1.000000 1.000000
1.047636 1.990458 0.988707
1.188281 3.063994 0.990418
1.425402 4.312160 1.011673
1.771097 5.833017 1.064665
2.246286 7.739191 1.170533
2.881645 10.165931 1.365209
3.719224 13.279265 1.709373
4.814677 17.283627 2.305044
6.239892 22.426701 3.322830
8.085494 28.995824 5.045585
10.461890 37.293281 7.935379
13.495858 47.564351 12.727994
17.316487 59.829700 20.543137
22.018940 73.548661 32.948102
27.588616 87.053010 51.794508
33.770665 96.869173 78.466699
39.905517 97.590193 112.171410
44.849796 83.676975 147.769072
47.208284 53.825921 175.728830
45.966908 14.562283 187.068243
41.119725 -22.651490 180.235786
33.664875 -49.305271 161.921441
24.974957 -63.986531 141.089509
16.166225 -70.017889 123.735574
7.871083 -71.478341 112.122695
0.328136 -71.157024 106.340110
-6.435000 -70.276990 105.723636
-12.448477 -68.867795 109.474302
-17.702701 -66.209348 116.702058
-22.101526 -61.264500 126.229417
-25.463334 -53.165243 136.433199
-27.570412 -41.722301 145.353847
-28.255004 -27.741344 151.162701
-27.486460 -12.880316 152.791670
-25.412386 0.959045 150.306570
-22.329514 12.338329 144.746368
-18.603801 20.655591 137.570267
-14.585073 26.066814 130.103695
-10.551417 29.158173 123.249164
-6.691399 30.622834 117.466621
-3.112979 31.064662 112.892082
0.136037 30.926245 109.476147
3.046655 30.491391 107.087222
5.631332 29.917455 105.571177
7.911709 29.272316 104.778320
9.910813 28.566122 104.571079
11.648672 27.775956 104.822520
13.140405 26.864555 105.412028
14.396047 25.794618 106.221705
15.421577 24.539675 107.135271
16.220732 23.091727 108.040036
16.797210 21.465394 108.831564
17.156870 19.698197 109.419925
17.309560 17.847024 109.735922
17.270284 15.981453 109.735661
17.059509 14.175299 109.402216
16.702639 12.498085 108.743983
16.228774 11.008064 107.790155
15.669055 9.747827 106.584424
15.054883 8.742834 105.178257
14.416305 8.002491 103.624926
13.780732 7.522997 101.975020
13.172119 7.291044 100.273713
12.610568 7.287598 98.559631
12.112317 7.491231 96.864950
11.690010 7.880698 95.216320
11.353152 8.436717 93.636200
11.108647 9.142981 92.144347
10.961350 9.986514 90.759259
10.914575 10.957512 89.499487
10.970519 12.048730 88.384771
11.130567 13.254519 87.436983
11.395457 14.569496 86.680860
11.765294 15.986872 86.144476
12.239377 17.496405 85.859378
12.815831 19.081966 85.860202
13.491032 20.718762 86.183567
14.258799 22.370355 86.865930
15.109391 23.985792 87.940062
16.028351 25.497432 89.429851
16.995320 26.820339 91.343324
17.983027 27.854432 93.664226
18.956772 28.490641 96.343201
19.874772 28.621988 99.290548
20.689765 28.159457 102.373381
21.352144 27.050748 105.420263
21.814553 25.297871 108.235366
22.037446 22.968094 110.621683
21.994622 20.193146 112.409231
21.677481 17.154511 113.481263
21.096893 14.057317 113.790886
20.282108 11.099615 113.363299
19.276969 8.445422 112.283767
18.134385 6.207943 110.676154
16.910318 4.445211 108.678980
15.658482 3.166230 106.425133
14.426449 2.343340 104.028586
13.253437 1.926356 101.578521
12.169586 1.855220 99.139287
11.196379 2.069581 96.753938
10.347760 2.515029 94.449279
9.631600 3.146449 92.241004
9.051236 3.929296 90.138163
8.606912 4.839519 88.146686
8.297034 5.862719 86.272024
